Gene,Pathways,Complexes
UQCC3,,Complex III;Complex I;Complex II
COX7B,,Complex I;Complex IV
COA4,,Complex I;Complex IV
UQCR11,,Complex III;Complex I;Complex II
COX7C,,Complex I;Complex IV
UQCRB,,Complex III;Complex I;Complex II
CAMK2G,Necroptosis,
CAMK2B,Necroptosis,
CAMKK2,Autophagy,
PRKAA2,Autophagy,
TNFAIP3,Necroptosis,
PRKCQ,Autophagy,
DAPK1,Autophagy,
PARP4,Apoptosis,
STAT4,Necroptosis,
CD14,,Complex I
CEP89,,Complex I;Complex IV
RAB8A,Autophagy,
CMC1,,Complex I;Complex IV
COX14,,Complex I;Complex IV
PET117,,Complex I;Complex IV
MT-ND4,,Complex I
SMIM20,,Complex I;Complex IV
PNKD,,Complex I;Complex IV
TMEM177,,Complex I;Complex IV
COX18,,Complex I;Complex IV
HIGD1A,,Complex I;Complex IV
COX20,,Complex I;Complex IV
VAMP8,Autophagy,
DEPTOR,Autophagy,
RB1CC1,Autophagy,
DUSP16,,
TMEM126A,,Complex I
GLUD2,Necroptosis,
SPATA2,Necroptosis,
LYRM2,,Complex I
RRAS,Autophagy,
MRAS,Autophagy,
MR1,,Complex I;Complex IV
TYMP,,Complex I;Complex IV
VMP1,Autophagy,
